stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code,stop_access
IDFM:463236,,Marx Dormoy,,2.359808478084024,48.89057957856722,1,,0,IDFM:71510,Europe/Paris,,2,,
IDFM:463237,,Maubert - Mutualité,,2.3480007542648047,48.85015347137307,1,,0,IDFM:71190,Europe/Paris,,2,,
IDFM:463238,,Michel-Ange - Auteuil,,2.2638093220226634,48.84770893216831,1,,0,IDFM:71206,Europe/Paris,,2,,
IDFM:463239,,Michel-Ange - Molitor,,2.2615143381045058,48.84474036225646,1,,0,IDFM:73658,Europe/Paris,,2,,
IDFM:463240,,Monceau,,2.309412967374703,48.880568770126835,1,,0,IDFM:73671,Europe/Paris,,2,,
IDFM:463241,,Montgallet,,2.3904000136353645,48.84400507570895,1,,0,IDFM:71631,Europe/Paris,,2,,
IDFM:463242,,Mouton-Duvernet,,2.329887640408421,48.83133758557153,1,,0,IDFM:73653,Europe/Paris,,2,,
IDFM:463243,,Ménilmontant,,2.3836913122141343,48.866297053289806,1,,0,IDFM:71815,Europe/Paris,,2,,
IDFM:463244,,Opéra,,2.3320941299398554,48.87066534465599,1,,0,IDFM:71337,Europe/Paris,,2,,
IDFM:463245,,Opéra,,2.332605475195448,48.87006114114266,1,,0,IDFM:71337,Europe/Paris,,2,,
IDFM:463246,,Opéra,,2.331128974301561,48.87150983278418,1,,0,IDFM:71337,Europe/Paris,,2,,
IDFM:463249,,Palais Royal - Musée du Louvre,,2.3369510036477164,48.86282758119678,1,,0,IDFM:71297,Europe/Paris,,2,,
IDFM:463250,,Parmentier,,2.3746806763746613,48.865162111168765,1,,0,IDFM:71801,Europe/Paris,,2,,
IDFM:463251,,Pierre et Marie Curie,,2.377362970985953,48.81587757774557,2,,0,IDFM:70537,Europe/Paris,,2,,
IDFM:463252,,Place de Clichy,,2.3278987090661456,48.88374519677981,1,,0,IDFM:71435,Europe/Paris,,2,,
IDFM:463253,,Place de Clichy,,2.327200436207035,48.88322415919443,1,,0,IDFM:71435,Europe/Paris,,2,,
